"STATISTIC CODE","Statistic","C02149V02592","Type of Expenditure","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20121","2012Q1","Euro Million","621"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20122","2012Q2","Euro Million","1048"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20123","2012Q3","Euro Million","1296"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20124","2012Q4","Euro Million","806"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20131","2013Q1","Euro Million","688"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20132","2013Q2","Euro Million","1140"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20133","2013Q3","Euro Million","1546"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20134","2013Q4","Euro Million","864"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20141","2014Q1","Euro Million","699"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20142","2014Q2","Euro Million","1331"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20143","2014Q3","Euro Million","1734"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20144","2014Q4","Euro Million","952"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20151","2015Q1","Euro Million","780"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20152","2015Q2","Euro Million","1566"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20153","2015Q3","Euro Million","2037"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20154","2015Q4","Euro Million","1148"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20161","2016Q1","Euro Million","926"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20162","2016Q2","Euro Million","1655"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20163","2016Q3","Euro Million","2241"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20164","2016Q4","Euro Million","1242"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20171","2017Q1","Euro Million","945"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20172","2017Q2","Euro Million","1876"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20173","2017Q3","Euro Million","2287"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20174","2017Q4","Euro Million","1377"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20181","2018Q1","Euro Million","1079"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20182","2018Q2","Euro Million","1970"
